entrezID,acronym,isAstrocyteEnriched,isOligodendrocyteEnriched,isNeuronEnriched,isGoodGeneBrain,isPersistent
100042150,Nrg2,0,0,0,1,1
100072,Camta1,0,0,1,1,1
100182,Akna,1,0,0,1,1
100737,Dcun1d4,0,0,0,1,1
100978,Nfxl1,0,0,0,1,1
102278,Cpne7,0,0,1,1,1
103236,Csnk1g2,0,0,0,1,1
103806,Maml1,0,0,0,1,1
104080,Nxph4,0,0,0,1,1
104156,Etv5,1,0,0,1,1
104245,Slc6a5,0,0,0,1,1
104318,Csnk1d,0,0,0,1,1
104360,Isl2,0,0,0,1,1
104382,Barhl2,0,0,0,1,1
104383,Rcor2,0,0,0,1,1
104384,Rhox9,0,0,0,1,0
104394,E2f4,0,0,0,1,1
104443,Npffr2,0,0,0,1,1
105349,Akr1c18,0,0,0,1,1
105440,Kctd9,0,0,0,1,1
105501,Abhd4,1,1,0,1,1
105594,Cphx1,0,0,0,1,1
105689,Mycbp2,0,0,0,1,1
105734,Tigd5,0,0,0,1,1
105859,Csdc2,1,0,0,1,1
106894,Hmgxb3,0,0,0,1,1
107448,Unc5a,0,0,0,1,1
107449,Unc5b,0,1,0,1,1
107522,Ece2,1,0,0,1,1
107581,Col16a1,1,0,0,1,1
107589,Mylk,0,0,0,1,1
107746,Rapgef1,0,1,0,1,0
107751,Prrxl1,0,0,0,1,1
107771,Bmyc,1,0,0,1,1
107823,Whsc1,0,0,0,1,1
107889,Gcm2,0,0,0,1,1
107934,Celsr3,0,0,1,1,1
108015,Chrnb4,0,0,0,1,1
108043,Chrnb3,0,0,0,1,1
108068,Grm2,0,0,1,1,1
108069,Grm3,1,0,0,1,1
108071,Grm5,0,0,1,1,0
108072,Grm6,0,0,0,1,1
108143,Taf9,0,0,0,1,1
108151,Sema3d,0,1,0,1,1
108655,Foxp1,0,0,1,1,1
108829,Jmjd1c,0,1,0,1,1
108961,E2f8,0,1,0,1,0
109232,Sccpdh,0,1,0,1,1
109272,Mybpc1,0,0,0,1,1
109593,Lmo3,0,0,1,1,1
109594,Lmo1,0,0,1,1,1
109648,Npy,0,0,1,1,1
109663,Hoxc11,0,0,0,1,1
109731,Maob,1,0,0,1,1
110006,Gusb,1,0,0,1,1
110075,Bmp3,0,0,0,1,1
110304,Glra3,0,0,0,1,1
110312,Pmch,0,0,0,1,1
110391,Qdpr,0,1,0,1,1
110521,Hivep1,1,0,0,1,1
110542,Amhr2,1,0,0,1,1
110637,Grik4,0,0,0,1,1
110648,Lmx1a,0,0,0,1,1
110784,Nr3c2,1,0,0,1,1
110789,Gpr98,0,0,0,1,1
110796,Tshz1,0,1,0,1,1
110834,Chrna3,0,0,1,1,1
110835,Chrna5,0,0,0,1,1
110862,Kcnq3,0,0,1,1,1
110877,Slc18a1,0,0,0,1,1
110886,Gabra5,0,0,1,1,1
110902,Chrna2,0,0,0,1,1
11298,Aanat,0,0,0,1,1
11302,Aatk,0,1,0,1,1
11305,Abca2,0,1,0,1,1
11350,Abl1,0,1,0,1,1
114128,Laptm4b,0,0,0,1,1
114142,Foxp2,0,0,1,1,1
11418,Asic2,0,0,0,1,1
11419,Asic1,0,0,0,1,1
11421,Ace,0,0,0,1,1
11423,Ache,0,0,1,1,1
11438,Chrna4,0,0,0,1,1
11440,Chrna6,0,0,0,1,1
11441,Chrna7,0,0,1,1,1
11444,Chrnb2,0,0,1,1,1
114606,Tle6,0,1,0,1,1
11461,Actb,1,0,0,1,1
114712,Ferd3l,0,0,0,1,1
114713,Rasa2,1,0,0,1,1
114741,Supt16,0,0,0,1,1
11477,Acvr1,0,0,0,1,1
114774,Pawr,0,1,0,1,1
11479,Acvr1b,0,0,1,1,1
11480,Acvr2a,0,0,1,1,1
11481,Acvr2b,0,1,0,1,1
11482,Acvrl1,0,0,0,1,1
11487,Adam10,0,0,0,1,1
114873,Dscaml1,0,1,0,1,1
114889,Vsx1,0,0,0,1,1
114893,Dcun1d1,0,1,0,1,1
11491,Adam17,1,0,0,1,1
11492,Adam19,0,1,0,1,1
11515,Adcy9,0,0,0,1,1
11516,Adcyap1,0,0,1,1,1
11517,Adcyap1r1,1,0,0,1,1
11538,Adnp,0,0,0,1,1
11540,Adora2a,0,0,0,1,0
11551,Adra2a,1,0,0,1,1
11552,Adra2b,0,0,0,1,1
11553,Adra2c,0,0,0,1,0
11554,Adrb1,1,0,0,1,1
11569,Aebp2,0,1,0,1,1
11600,Angpt1,1,0,0,1,0
11601,Angpt2,0,0,0,1,0
11602,Angpt4,0,0,0,1,1
11604,Agrp,0,0,0,1,1
11606,Agt,1,0,0,1,1
