Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0022836	gated channel activity	 	3.053E-5	1.197E-2	6.841E-3	4.481E-2	11	349	GRID1,KCNIP3,CACNG3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1,KCNMB4,GABRA1,GABRA4
GO: Molecular Function	GO:0015459	potassium channel regulator activity	 	3.490E-5	1.368E-2	6.841E-3	4.481E-2	5	54	KCNIP3,KCNV1,KCNK2,KCNS1,KCNMB4
GO: Molecular Function	GO:0005267	potassium channel activity	 	8.208E-5	3.218E-2	1.073E-2	7.025E-2	7	150	KCNIP3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1,KCNMB4
GO: Molecular Function	GO:0030594	neurotransmitter receptor activity	 	2.110E-4	8.272E-2	1.481E-2	9.703E-2	6	123	HTR1E,GRID1,CHRM1,HRH1,GABRA1,GABRA4
GO: Molecular Function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	 	2.278E-4	8.931E-2	1.481E-2	9.703E-2	12	513	ONECUT2,PRRX1,FEZF2,OVOL2,LHX2,OTX1,BCL11B,CSRNP3,EGR3,NR2E1,DLX2,PRDM16
GO: Molecular Function	GO:0001216	DNA-binding transcription activator activity	 	2.446E-4	9.588E-2	1.481E-2	9.703E-2	12	517	ONECUT2,PRRX1,FEZF2,OVOL2,LHX2,OTX1,BCL11B,CSRNP3,EGR3,NR2E1,DLX2,PRDM16
GO: Molecular Function	GO:0042165	neurotransmitter binding	 	2.731E-4	1.071E-1	1.481E-2	9.703E-2	6	129	HTR1E,GRID1,CHRM1,HRH1,GABRA1,GABRA4
GO: Molecular Function	GO:0015079	potassium ion transmembrane transporter activity	 	3.101E-4	1.216E-1	1.481E-2	9.703E-2	7	186	KCNIP3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1,KCNMB4
GO: Molecular Function	GO:0005249	voltage-gated potassium channel activity	 	3.401E-4	1.333E-1	1.481E-2	9.703E-2	5	87	KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1
GO: Molecular Function	GO:0022843	voltage-gated cation channel activity	 	4.742E-4	1.859E-1	1.664E-2	1.090E-1	6	143	CACNG3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1
GO: Molecular Function	GO:0005244	voltage-gated ion channel activity	 	4.945E-4	1.938E-1	1.664E-2	1.090E-1	7	201	KCNIP3,CACNG3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1
GO: Molecular Function	GO:0022832	voltage-gated channel activity	 	5.094E-4	1.997E-1	1.664E-2	1.090E-1	7	202	KCNIP3,CACNG3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1
GO: Molecular Function	GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	 	5.622E-4	2.204E-1	1.695E-2	1.110E-1	4	55	GRID1,CHRM1,GABRA1,GABRA4
GO: Molecular Function	GO:0016247	channel regulator activity	 	7.010E-4	2.748E-1	1.725E-2	1.130E-1	6	154	KCNIP3,CACNG3,KCNV1,KCNK2,KCNS1,KCNMB4
GO: Molecular Function	GO:0015267	channel activity	 	7.371E-4	2.889E-1	1.725E-2	1.130E-1	12	585	GRID1,KCNIP3,CACNG3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1,KCNMB4,STEAP1,GABRA1,GABRA4
GO: Molecular Function	GO:0004435	phosphatidylinositol phospholipase C activity	 	7.434E-4	2.914E-1	1.725E-2	1.130E-1	3	26	CHRM1,PLCB1,PLCH1
GO: Molecular Function	GO:0022803	passive transmembrane transporter activity	 	7.482E-4	2.933E-1	1.725E-2	1.130E-1	12	586	GRID1,KCNIP3,CACNG3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1,KCNMB4,STEAP1,GABRA1,GABRA4
GO: Molecular Function	GO:0005216	ion channel activity	 	7.937E-4	3.111E-1	1.728E-2	1.132E-1	11	508	GRID1,KCNIP3,CACNG3,KCNV1,KCNB1,KCNJ4,KCNK2,KCNS1,KCNMB4,GABRA1,GABRA4
GO: Molecular Function	GO:0004629	phospholipase C activity	 	9.273E-4	3.635E-1	1.913E-2	1.253E-1	3	28	CHRM1,PLCB1,PLCH1
GO: Molecular Function	GO:0099589	serotonin receptor activity	 	1.376E-3	5.394E-1	2.569E-2	1.682E-1	3	32	HTR1E,CHRM1,HRH1
GO: Molecular Function	GO:0004993	G protein-coupled serotonin receptor activity	 	1.376E-3	5.394E-1	2.569E-2	1.682E-1	3	32	HTR1E,CHRM1,HRH1
GO: Molecular Function	GO:0099106	ion channel regulator activity	 	1.576E-3	6.176E-1	2.807E-2	1.839E-1	5	122	KCNIP3,KCNV1,KCNK2,KCNS1,KCNMB4
GO: Molecular Function	GO:0051378	serotonin binding	 	1.789E-3	7.011E-1	3.048E-2	1.997E-1	3	35	HTR1E,CHRM1,HRH1
GO: Molecular Function	GO:0043176	amine binding	 	2.102E-3	8.240E-1	3.434E-2	2.249E-1	3	37	HTR1E,CHRM1,HRH1
GO: Molecular Function	GO:0008503	benzodiazepine receptor activity	 	2.496E-3	9.784E-1	3.890E-2	2.548E-1	2	11	GABRA1,GABRA4
GO: Molecular Function	GO:0098960	postsynaptic neurotransmitter receptor activity	 	2.612E-3	1.000E0	3.890E-2	2.548E-1	4	83	GRID1,CHRM1,GABRA1,GABRA4
GO: Molecular Function	GO:0022857	transmembrane transporter activity	 	2.680E-3	1.000E0	3.890E-2	2.548E-1	17	1164	SLC26A4,GRID1,SLC35F1,KCNIP3,CACNG3,KCNV1,SLC22A18,KCNB1,KCNJ4,KCNK2,HRH1,KCNS1,KCNMB4,SLC2A13,STEAP1,GABRA1,GABRA4
GO: Molecular Function	GO:0005215	transporter activity	 	2.934E-3	1.000E0	4.016E-2	2.630E-1	18	1277	SLC26A4,GRID1,SLC35F1,KCNIP3,CACNG3,KCNV1,SLC22A18,KCNB1,OSBPL3,KCNJ4,KCNK2,HRH1,KCNS1,KCNMB4,SLC2A13,STEAP1,GABRA1,GABRA4
GO: Molecular Function	GO:0046332	SMAD binding	 	2.971E-3	1.000E0	4.016E-2	2.630E-1	4	86	COL5A2,ACVR1C,RANBP3L,PRDM16
GO: Molecular Function	GO:0005516	calmodulin binding	 	3.157E-3	1.000E0	4.125E-2	2.702E-1	6	207	PCP4,NRGN,RASGRF2,MYO5B,ITPKA,PLCB1
GO: Molecular Function	GO:0016597	amino acid binding	 	3.500E-3	1.000E0	4.297E-2	2.815E-1	4	90	GAD1,DDAH1,GRID1,HDC
GO: Molecular Function	GO:0022851	GABA-gated chloride ion channel activity	 	3.508E-3	1.000E0	4.297E-2	2.815E-1	2	13	GABRA1,GABRA4
GO: Molecular Function	GO:0003690	double-stranded DNA binding	 	3.713E-3	1.000E0	4.410E-2	2.889E-1	22	1736	DPF1,ONECUT2,PRRX1,AKAP8,FEZF2,ARX,POU3F1,STOX1,KCNIP3,LHX6,OVOL2,LHX2,OTX1,BCL11B,MRTFB,CSRNP3,EGR3,NR2E1,DLX1,DLX2,EMX2,PRDM16
