Glasser ROI,Lobe,Lobe(#)
1,P,2
2,P,2
3a,F,1
3b,P,2
4,F,1
5L,P,2
5m,P,2
5mv,P,2
6a,F,1
6d,F,1
6ma,F,1
6mp,F,1
6r,F,1
6v,F,1
7AL,P,2
7Am,P,2
7m,P,2
7PC,P,2
7PL,P,2
7Pm,P,2
8Ad,F,1
8Av,F,1
8BL,F,1
8BM,F,1
8C,F,1
9-46d,F,1
9a,F,1
9m,F,1
9p,F,1
10d,F,1
10pp,F,1
10r,F,1
10v,F,1
11l,F,1
13l,F,1
23c,P,2
23d,P,2
24dd,F,1
24dv,F,1
25,F,1
31a,P,2
31pd,P,2
31pv,P,2
33pr,F,1
43,F,1
44,F,1
45,F,1
46,F,1
47l,F,1
47m,F,1
47s,F,1
52,T,3
55b,F,1
A1,T,3
A4,T,3
A5,T,3
a9-46v,F,1
a10p,F,1
a24,F,1
a24pr,F,1
a32pr,F,1
a47r,F,1
AAIC,F,1
AIP,P,2
AVI,F,1
d23ab,P,2
d32,F,1
DVT,O,4
EC,T,3
FEF,F,1
FFC,T,3
FOP1,F,1
FOP2,F,1
FOP3,F,1
FOP4,F,1
FOP5,F,1
FST,T,3
H,T,3
i6-8,F,1
IFJa,F,1
IFJp,F,1
IFSa,F,1
IFSp,F,1
Ig,F,1
IP0,P,2
IP1,P,2
IP2,P,2
IPS1,P,2
LBelt,T,3
LIPd,P,2
LIPv,P,2
LO1,O,4
LO2,O,4
LO3,O,4
MBelt,T,3
MI,F,1
MIP,P,2
MST,T,3
MT,T,3
OFC,F,1
OP1,P,2
OP2-3,P,2
OP4,P,2
p9-46v,F,1
p10p,F,1
p24,F,1
p24pr,F,1
p32,F,1
p32pr,F,1
p47r,F,1
PBelt,T,3
PCV,P,2
PeEc,T,3
PEF,F,1
PF,P,2
PFcm,P,2
PFm,P,2
PFop,P,2
PFt,P,2
PGi,P,2
PGp,P,2
PGs,P,2
PH,T,3
PHA1,T,3
PHA2,T,3
PHA3,T,3
PHT,T,3
PI,T,3
Pir,F,1
PIT,O,4
pOFC,F,1
PoI1,T,3
PoI2,F,1
POS1,P,2
POS2,P,2
PreS,T,3
ProS,O,4
PSL,P,2
RI,P,2
RSC,P,2
s6-8,F,1
s32,F,1
SCEF,F,1
SFL,F,1
STGa,T,3
STSda,T,3
STSdp,T,3
STSva,T,3
STSvp,T,3
STV,P,2
TA2,T,3
TE1a,T,3
TE1m,T,3
TE1p,T,3
TE2a,T,3
TE2p,T,3
TF,T,3
TGd,T,3
TGv,T,3
TPOJ1,T,3
TPOJ2,T,3
TPOJ3,P,2
V1,O,4
V2,O,4
V3,O,4
V3A,O,4
V3B,O,4
V3CD,O,4
V4,O,4
V4t,O,4
V6,O,4
V6A,O,4
V7,O,4
V8,O,4
v23ab,P,2
VIP,P,2
VMV1,O,4
VMV2,O,4
VMV3,O,4
VVC,T,3
