"comp","side","Symbol","Trait","Variant","MeSH_term"
"C1","head","CAV2","Atrial fibrillation","rs1997571","Atrial Fibrillation"
"C1","head","CAV2","I48 Atrial fibrillation and flutter","rs11773845","Arrhythmias, Cardiac"
"C1","head","CAV2","heart arrhythmia","rs1997571","Arrhythmias, Cardiac"
"C1","head","CCDC88B","C43-C44 Melanoma and other malignant neoplasms of skin","rs479552","Melanoma"
"C1","head","CCDC88B","C44 Other malignant neoplasms of skin","rs479552","Skin Neoplasms"
"C1","head","CCDC88B","Non-cancer illness code, self-reported: hypothyroidism/myxoedema","rs479552","Hypothyroidism"
"C1","head","CCDC88B","hypothyroidism/myxoedema","rs479552","Hypothyroidism"
"C1","head","CCDC88B","thyroid problem (not cancer)","rs479552","Thyroid Diseases"
"C1","head","PCOLCE2","Comparative height size at age 10","rs11716897","Body Height"
"C1","head","PCOLCE2","Platelet count","rs11716897","Platelet Count"
"C1","head","PCOLCE2","Platelet crit","rs11716897","Erythrocyte Indices"
"C1","head","PCOLCE2","Sitting height","rs11716897","Body Height"
"C1","head","GHR","Comparative height size at age 10","rs6180","Body Height"
"C1","head","GHR","Height","rs6180","Body Height"
"C1","head","GHR","Sitting height","rs6180","Body Height"
"C1","head","GHR","Standing height","rs6180","Body Height"
"C1","head","WFS1","E10-E14 Diabetes mellitus","rs4280818","Diabetes Mellitus"
"C1","head","HELLS","Mean reticulocyte volume","rs2274096","Erythrocyte Indices"
"C1","head","SPTB","Platelet distribution width","rs229654","Erythrocyte Indices"
"C1","head","SPTB","Platelet distribution width","rs229654","Platelet"
"C1","head","SPTB","Waist circumference / Hip circumference","rs8009631","Waist-Hip Ratio"
"C1","head","SEMA3D","Red blood cell (erythrocyte) count","rs2534852","Erythrocyte Count"
"C1","head","PPM1J","Treatment/medication code: bendroflumethiazide","rs77724279","Self Care"
"C1","tail","GPX3","Amyotrophic lateral sclerosis","rs4958872","Amyotrophic Lateral Sclerosis"
"C1","tail","GRID1","Arm fat percentage (right)","rs10887582","Body Fat Distribution"
"C1","tail","GRID1","Body Mass Index","rs10749537","Body Mass Index"
"C1","tail","GRID1","Body fat percentage","rs10887582","Body Fat Distribution"
"C1","tail","GRID1","Leg fat mass (left)","rs10887582","Body Fat Distribution"
"C1","tail","GRID1","Leg fat mass (right)","rs10887582","Body Fat Distribution"
"C1","tail","GRID1","Smoking status","rs7907900","Smoking"
"C1","tail","GRID1","Trunk fat percentage","rs10887582","Body Fat Distribution"
"C1","tail","GRID1","Whole body fat mass","rs10887582","Body Fat Distribution"
"C1","tail","ART3","Gamma-linolenic acid","rs12503413","gamma-Linolenic Acid"
"C1","tail","PDE10A","Leg fat-free mass (right)","rs705821","Body Fat Distribution"
"C1","tail","PDE10A","Leg predicted mass (right)","rs705821","Body Fat Distribution"
"C1","tail","PDE10A","Whole body fat-free mass","rs705821","Body Fat Distribution"
"C1","tail","PDE10A","Whole body water mass","rs705821","Body Water"
"C1","tail","ARHGAP25","Lymphocyte percentage","rs10048745","Lymphocyte Count"
"C1","tail","ARHGAP25","Lymphocyte percentage of white cells","rs10048745","Leukocyte Count"
"C1","tail","ARHGAP25","Neutrophill count","rs10048745","Leukocyte Count"
"C1","tail","ARHGAP25","Neutrophill percentage","rs10048745","Leukocyte Count"
"C1","tail","ARHGAP25","Platelet count","rs10048745","Platelet Count"
"C1","tail","ARHGAP25","Platelet crit","rs10048745","Erythrocyte Indices"
"C1","tail","ARHGAP25","Plateletcrit","rs10048745","Platelet"
"C1","tail","ENO3","Mean platelet (thrombocyte) volume","rs6065","Mean Platelet Volume"
"C1","tail","ENO3","Platelet count","rs2243103","Platelet Count"
"C1","tail","ENO3","Platelet crit","rs2243103","Erythrocyte Indices"
"C1","tail","ENO3","Platelet distribution width","rs1060431","Erythrocyte Indices"
"C1","tail","ENO3","Platelet distribution width","rs1060431","Platelet"
"C1","tail","ENO3","Plateletcrit","rs2243103","Platelet"
"C1","tail","ENO3","Pulse rate, automated reading","rs4790714","Heart Rate"
"C1","tail","KLHL29","Nap during day","rs13033444","Sleep"
"C1","tail","BSPRY","White blood cell (leukocyte) count","rs2093691","Leukocyte Count"
"C2","head","C1orf86","Arm fat-free mass (left)","rs2503701","Body Fat Distribution"
"C2","head","C1orf86","Basal metabolic rate","rs2503701","Basal Metabolism"
"C2","head","C1orf86","Leg fat-free mass (left)","rs2503701","Body Fat Distribution"
"C2","head","C1orf86","Leg fat-free mass (right)","rs2503701","Body Fat Distribution"
"C2","head","C1orf86","Leg predicted mass (left)","rs2503701","Body Fat Distribution"
"C2","head","C1orf86","Leg predicted mass (right)","rs2503701","Body Fat Distribution"
"C2","head","TSPAN2","Body mass index","rs72697933","Body Mass Index"
"C2","head","TSPAN2","Impedance measures - Arm fat-free mass (right)","rs72697933","Body Fat Distribution"
"C2","head","TSPAN2","Impedance measures - Arm predicted mass (right)","rs72697933","Body Fat Distribution"
"C2","head","TSPAN2","Impedance measures - Body mass index (BMI)","rs72697933","Body Mass Index"
"C2","head","TSPAN2","Impedance measures - Leg fat mass (right)","rs72697933","Plethysmography, Impedance"
